,Date,Tested,Confirmed,Recovered,Death,Active,First Dose Vaccinated,Second Dose Vaccinated,Total Vaccinated,Non-Vaccinated,Male Vaccinated,Female Vaccinated,Transgender Vaccinated,Covishield Doses,Covaxin Doses
40,2/10/2021,8209892,571636,556925,10215,4496,396442,0,396442,96603558,150028,246289,125,393164,3278
41,2/11/2021,8231998,571815,557208,10220,4387,421678,0,421678,96578322,165702,255851,125,416907,4771
42,2/12/2021,8256108,572032,557494,10225,4313,451987,0,451987,96548013,184971,266891,125,444387,7600
43,2/13/2021,8278163,572220,557758,10229,4233,480743,1084,481827,96518173,203029,277587,127,469945,10798
44,2/14/2021,8300367,572405,558015,10230,4160,484229,1136,485365,96514635,204982,279120,127,472455,11774
45,2/15/2021,8315899,572595,558277,10232,4086,519678,6240,525918,96474082,226771,292779,128,503916,15762
46,2/16/2021,8335250,572728,558535,10233,3960,521537,6538,528075,96471925,228169,293240,128,505299,16238
47,2/17/2021,8349281,572879,558790,10235,3854,538752,12285,551037,96448963,238483,300141,128,519702,19050
48,2/18/2021,8368326,573012,559039,10237,3736,544667,18623,563290,96436710,251544,293031,92,521057,23610
49,2/19/2021,8388854,573193,559282,10239,3672,596408,35680,632088,96367912,278191,318098,119,568203,28205
50,2/20/2021,8409392,573387,559520,10242,3625,620329,44526,664855,96335145,296740,323474,115,586953,33376
51,2/21/2021,8429395,573580,559755,10246,3579,625050,44711,669761,96330239,300846,324089,115,589683,35367
52,2/22/2021,8444507,573762,559988,10249,3525,662851,64029,726880,96273120,330217,332532,102,618390,44461
53,2/23/2021,8462809,573910,560219,10251,3440,712116,76160,788276,96211724,369791,342221,104,654296,57820
54,2/24/2021,8483021,574099,560447,10253,3399,778861,94156,873017,96126983,422228,356527,106,706362,72499
55,2/25/2021,8503417,574301,560668,10256,3377,864083,114768,978851,96021149,489528,374446,109,773580,90503
56,2/26/2021,8523501,574500,560887,10260,3353,953882,138847,1092729,95907271,561866,391908,108,844155,109727
57,2/27/2021,8543514,574716,561110,10263,3343,953882,138847,1092729,95907271,561866,391908,108,844155,109727
58,2/28/2021,8563278,574926,561327,10266,3333,953882,138847,1092729,95907271,561866,391908,108,844155,109727
59,3/1/2021,8579292,575118,561543,10268,3307,953882,138847,1092729,95907271,561866,391908,108,844155,109727
60,3/2/2021,8598257,575316,561755,10268,3293,1012276,157761,1170037,95829963,606914,405230,132,891720,120556
61,3/3/2021,8618587,575487,561964,10270,3253,1081891,179460,1261351,95738649,659059,422695,137,952069,129822
62,3/4/2021,8638078,575712,562195,10272,3245,1151159,201021,1352180,95647820,708931,442082,146,1012445,138714
63,3/5/2021,8658929,575921,562412,10273,3236,1226222,222294,1448516,95551484,759685,466385,152,1078718,147504
64,3/6/2021,8678594,576176,562675,10275,3226,1299938,237628,1537566,95462434,807498,492278,162,1143559,156379
65,3/7/2021,8698853,576435,562945,10277,3213,1308982,238471,1547453,95452547,812952,495868,162,1151936,157046
66,3/8/2021,8713265,576623,563182,10278,3163,1424182,260000,1684182,95315818,881077,542933,172,1257030,167152
67,3/9/2021,8730503,576838,563403,10280,3155,1312737,283944,1596681,95403319,975389,621111,181,1417240,179346
68,3/10/2021,8748775,577026,563601,10281,3144,1426418,304497,1730915,95269085,1051346,679371,198,1543057,187763
69,3/11/2021,8768585,577026,563601,10281,3144,1486241,315733,1801974,95198026,1093842,707926,206,1610193,191682
70,3/12/2021,8787961,577267,563857,10283,3127,1641083,341920,1983003,95016997,1195941,786842,220,1781055,201849
71,3/13/2021,8805796,577788,564368,10287,3133,1742140,362109,2104249,94895751,1262535,841476,238,1895615,208534
72,3/14/2021,8826974,578064,564637,10288,3139,1753914,364071,2117985,94882015,1270369,847377,239,1908463,209422
73,3/15/2021,8840344,578347,564912,10292,3143,1958513,394498,2353011,94646989,1397096,955639,276,2131390,221521
74,3/16/2021,8857386,578598,565156,10295,3147,2400215,417956,2818171,94181829,1422806,977119,290,2583908,234263
75,3/17/2021,8875277,578853,565398,10297,3158,2688119,433675,3121794,93878206,1577709,1110077,333,2866897,254897
76,3/18/2021,8894786,579156,565670,10298,3188,2808898,451670,3260568,93739432,1645672,1162885,341,2995755,264813
77,3/19/2021,8915211,579479,565938,10300,3241,3086159,474968,3561127,93438873,1790533,1295254,372,3279859,281268
78,3/20/2021,8937990,579826,566228,10301,3297,3263416,494597,3758013,93241987,1882984,1380032,400,3456023,301990
79,3/21/2021,8958655,580209,566526,10303,3380,3294084,497397,3791481,93208519,1898738,1394941,405,3484021,307460
80,3/22/2021,8974663,580631,566821,10306,3504,3505433,523662,4029095,92970905,2010192,1494805,436,3695497,333598
81,3/23/2021,8992906,580999,567117,10308,3574,3727569,557282,4284851,92715149,2126625,1600493,451,3913072,371779
82,3/24/2021,9015071,581403,567437,10310,3656,3850626,578299,4428925,92571075,2192309,1657860,457,4032094,396831
83,3/25/2021,9038085,581865,567771,10312,3782,3976580,600700,4577280,92422720,2261811,1714302,467,4158642,418638
84,3/26/2021,9062119,582381,568115,10316,3950,4261110,622358,4883468,92116532,2405782,1854839,489,4436826,446642
